Time,Data do,DsOsieczow21-As(cdepoz)-1m,DsOsieczow21-BaA(cdepoz)-1m,DsOsieczow21-BaP(cdepoz)-1m,DsOsieczow21-BbF(cdepoz)-1m,DsOsieczow21-BjF(cdepoz)-1m,DsOsieczow21-BkF(cdepoz)-1m,DsOsieczow21-Cd(cdepoz)-1m,DsOsieczow21-DBahA(cdepoz)-1m,DsOsieczow21-Hg(cdepoz)-1m,DsOsieczow21-IP(cdepoz)-1m,DsOsieczow21-Ni(cdepoz)-1m,KpZielBoryTu-As(cdepoz)-1m,KpZielBoryTu-BaA(cdepoz)-1m,KpZielBoryTu-BaP(cdepoz)-1m,KpZielBoryTu-BbF(cdepoz)-1m,KpZielBoryTu-BjF(cdepoz)-1m,KpZielBoryTu-BkF(cdepoz)-1m,KpZielBoryTu-Cd(cdepoz)-1m,KpZielBoryTu-DBahA(cdepoz)-1m,KpZielBoryTu-Hg(cdepoz)-1m,KpZielBoryTu-IP(cdepoz)-1m,KpZielBoryTu-Ni(cdepoz)-1m,WmPuszczaBor-As(cdepoz)-1m,WmPuszczaBor-BaA(cdepoz)-1m,WmPuszczaBor-BaP(cdepoz)-1m,WmPuszczaBor-BbF(cdepoz)-1m,WmPuszczaBor-BjF(cdepoz)-1m,WmPuszczaBor-BkF(cdepoz)-1m,WmPuszczaBor-Cd(cdepoz)-1m,WmPuszczaBor-DBahA(cdepoz)-1m,WmPuszczaBor-Hg(cdepoz)-1m,WmPuszczaBor-IP(cdepoz)-1m,WmPuszczaBor-Ni(cdepoz)-1m,Rok,2023,Unnamed: 3,2023.1,Unnamed: 5,2023.2,Unnamed: 7,2023.3,Unnamed: 9,2023.4,Unnamed: 11,2023.5,Unnamed: 13,2023.6,Unnamed: 15,2023.7,Unnamed: 17,2023.8,Unnamed: 19,Unnamed: 20,Unnamed: 21,2023.9,Unnamed: 23,2023.10,Unnamed: 25,2023.11,Unnamed: 27,2023.12,Unnamed: 29,2023.13,Unnamed: 31,2023.14,Unnamed: 33,2023.15,Unnamed: 35,2023.16,Unnamed: 37,2023.17,Unnamed: 39,2023.18,Unnamed: 41,2023.19,Unnamed: 43,Unnamed: 44,Unnamed: 45,2023.20,Unnamed: 47,2023.21,Unnamed: 49,Unnamed: 50,2023.22,Unnamed: 52,2023.23,Unnamed: 54,2023.24,Unnamed: 56,2023.25,Unnamed: 58,2023.26,Unnamed: 60,2023.27,Unnamed: 62,2023.28,Unnamed: 64,Unnamed: 65,Unnamed: 66,2023.29,Unnamed: 68,2023.30,Unnamed: 70,Unnamed: 71,Unnamed: 72,2023.31,Unnamed: 74,2023.32,Unnamed: 76,Unnamed: 77,Unnamed: 78
2021-05-31T00:00:00,,,,,,,,,,,,,0.233871,0.0016,0.001104,0.002301,0.000945,0.0013,0.056129,0.00014,0.011694,0.000945,0.467742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01T00:00:00,,,,,,,,,,,,,0.215,0.001445,0.000705,0.001772,0.000843,0.000912,0.01075,0.000129,0.005418,0.000998,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-28T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,0.759949,0.012868,0.023478,0.029775,0.010356,0.011915,0.132165,0.001891,0.005952,0.010408,0.495619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30T00:00:00,,1.276146,0.005477,0.018178,0.027748,0.013129,0.01183,0.226652,0.003983,0.079821,0.015941,14.136156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-02T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,0.58581,0.013276,0.024082,0.024711,0.010587,0.010699,0.087871,0.002535,0.006654,0.032359,0.878714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-31T00:00:00,,,,,,,,,,,,,0.332258,0.00412,0.003761,0.005741,0.002751,0.003137,0.016613,0.000199,0.008107,0.00412,0.664516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-04T00:00:00,,0.317719,0.007646,0.009494,0.018537,0.008991,0.006099,0.14017,0.000719,0.103726,0.020075,11.064089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31T00:00:00,,,,,,,,,,,,,0.568966,0.004618,0.002812,0.006287,0.003978,0.003292,0.028448,0.000343,0.011607,0.001669,1.137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01T00:00:00,,0.318975,0.000894,0.000875,0.00119,0.00077,1.4e-05,0.033188,1.4e-05,0.000251,0.000738,1.782022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-30T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,0.426191,0.005228,0.008023,0.010032,0.003582,0.004094,0.034095,0.000895,0.003925,0.006632,0.511429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
