Time,DsGlogWiStwo-Cd(PM10)-24g,DsJelGorSoko-Cd(PM10)-24g,DsLegAlRzecz-Cd(PM10)-24g,DsNowRudSreb-Cd(PM10)-24g,DsOlawZolnAK-Cd(PM10)-24g,DsOsieczow21-Cd(PM10)-24g,DsPolKasztan-Cd(PM10)-24g,DsSzczaKolej-Cd(PM10)-24g,DsWalbrzWyso-Cd(PM10)-24g,DsWrocWybCon-Cd(PM10)-24g,DsZgorBohGet-Cd(PM10)-24g,KpBrodKochan-Cd(PM10)-24g,KpBydPlPozna-Cd(PM10)-24g,KpCiechTezni-Cd(PM10)-24g,KpGrudSienki-Cd(PM10)-24g,KpInowSolank-Cd(PM10)-24g,KpKoniczynka-Cd(PM10)-24g,KpNaklSkargi-Cd(PM10)-24g,KpToruDziewu-Cd(PM10)-24g,KpWloclOkrze-Cd(PM10)-24g,KpZielBoryTu-Cd(PM10)-24g,LbLubSliwins-Cd(PM10)-24g,LbZamoHrubie-Cd(PM10)-24g,LdLodzLegion-Cd(PM10)-24g,LdLodzRudzka-Cd(PM10)-24g,LdPabiKilins-Cd(PM10)-24g,LdPioTrKraPr-Cd(PM10)-24g,LdSieraPolna-Cd(PM10)-24g,LdSkierKonop-Cd(PM10)-24g,LuGorzKosGdy-Cd(PM10)-24g,LuGorzPilsud-Cd(PM10)-24g,LuSulecDudka-Cd(PM10)-24g,LuWsKaziWiel-Cd(PM10)-24g,LuZarySzyman-Cd(PM10)-24g,LuZielKrotka-Cd(PM10)-24g,MpKrakBujaka-Cd(PM10)-24g,MpKrakBulwar-Cd(PM10)-24g,MpKrakWadow-Cd(PM10)-24g,MpNoSaczNadb-Cd(PM10)-24g,MpTarBitStud-Cd(PM10)-24g,MpTrzebOsZWM-Cd(PM10)-24g,MzGutyDuCzer-Cd(PM10)-24g,MzKonJezMos-Cd(PM10)-24g,MzOstroHalle-Cd(PM10)-24g,MzOtwoBrzozo-Cd(PM10)-24g,MzPlocKroJad-Cd(PM10)-24g,MzRad25Czerw-Cd(PM10)-24g,MzSiedKonars-Cd(PM10)-24g,MzWarAKrzywo-Cd(PM10)-24g,MzWarAlNiepo-Cd(PM10)-24g,OpGlubRatusz-Cd(PM10)-24g,OpOpoleOsAKr-Cd(PM10)-24g,PdBialWaszyn-Cd(PM10)-24g,PdSuwPulaski-Cd(PM10)-24g,PkJasloSikor-Cd(PM10)-24g,PkKrosKletow-Cd(PM10)-24g,PkPrzemGrunw-Cd(PM10)-24g,PkRymZdrPark-Cd(PM10)-24g,PkRzeszRejta-Cd(PM10)-24g,PmGdyJozBema-Cd(PM10)-24g,PmKosTargo12-Cd(PM10)-24g,SkKielJagiel-Cd(PM10)-24g,SlBielKossak-Cd(PM10)-24g,SlCzestoBacz-Cd(PM10)-24g,SlGodGliniki-Cd(PM10)-24g,SlKatoKossut-Cd(PM10)-24g,SlPszczBoged-Cd(PM10)-24g,SlRybniBorki-Cd(PM10)-24g,SlTarnoLitew-Cd(PM10)-24g,WmElbBazynsk-Cd(PM10)-24g,WmNiTraugutt-Cd(PM10)-24g,WmOlsPuszkin-Cd(PM10)-24g,WmPuszczaBor-Cd(PM10)-24g,WpKaliSawick-Cd(PM10)-24g,WpNoTomSzpit-Cd(PM10)-24g,WpOstWieWyso-Cd(PM10)-24g,WpPilaKusoci-Cd(PM10)-24g,WpPoznChwial-Cd(PM10)-24g,ZpKoszSpasow-Cd(PM10)-24g,ZpSzczAndr01-Cd(PM10)-24g,ZpSzczec1Maj-Cd(PM10)-24g,ZpWiduBulRyb-Cd(PM10)-24g,KpBydWarszaw-Cd(PM10)-24g,KpWieniZdroj-Cd(PM10)-24g,KpWloclGniaz-Cd(PM10)-24g,OpZdziePiast-Cd(PM10)-24g,PdSuwPulaskp-Cd(PM10)-24g,PkStWolWoPol-Cd(PM10)-24g,PmMalMicki15-Cd(PM10)-24g,SkKielTargow-Cd(PM10)-24g,DsJaworMOB-Cd(PM10)-24g,LuNowaSolMOB-Cd(PM10)-24g,MzMinMazKaziMOB-Cd(PM10)-24g,MzWarBajkowa-Cd(PM10)-24g,MzWarChrosci-Cd(PM10)-24g,OpNysaRodzie-Cd(PM10)-24g,SkStaraZlota-Cd(PM10)-24g,LbBiaPodOrze-Cd(PM10)-24g,LuSmolBytnic-Cd(PM10)-24g,LuSwiebodMOB-Cd(PM10)-24g,OpStrzOpWyszMOB-Cd(PM10)-24g,PkMielPogodn-Cd(PM10)-24g,PmGdaLecz08m-Cd(PM10)-24g,PmLebMalcz16-Cd(PM10)-24g,KpNaklWawrzy-Cd(PM10)-24g,LuGubinAnderMOB-Cd(PM10)-24g,LuNowaSolKos-Cd(PM10)-24g,OpBrzegPoprzMOB-Cd(PM10)-24g,PdSuwPulask2-Cd(PM10)-24g,PmChojPlEmsdMOB-Cd(PM10)-24g,PmGdaLeczk81-Cd(PM10)-24g,SlDabroTysia-Cd(PM10)-24g,WpPoznSpycha-Cd(PM10)-24g,ZpKoszChopin-Cd(PM10)-24g,ZpSzczAndrze-Cd(PM10)-24g,LbChelmPolan-Cd(PM10)-24g,LuZaganKochaMOB-Cd(PM10)-24g,OpKrap3MajaMOB-Cd(PM10)-24g,PmGdaLeczkow-Cd(PM10)-24g,LuMiedzyrMOB-Cd(PM10)-24g,OpKKozBSmial-Cd(PM10)-24g,PdBialPPiech-Cd(PM10)-24g,PdLomSikorsk-Cd(PM10)-24g,PmLebMalczew-Cd(PM10)-24g,WpPleszAlMic-Cd(PM10)-24g
2017-07-22T00:00:00,1.011,0.1,0.518,0.285,0.103,0.051,0.13,0.078,0.104,0.207,0.103,0.065,0.13477,0.065,0.065,0.139963,0.065,0.065,0.1493,0.065,0.056429,0.13,0.12,0.15,0.17,0.23,0.3,0.19,0.16,0.04,0.03,,0.09,0.13,0.11,0.4,0.47,0.39,0.28,2.62,0.35,0.0621,0.0925,0.0896,0.2934,0.0861,0.19,0.0985,0.0865,0.1023,0.1246,0.1452,0.05,0.05,0.59,0.29,0.29,0.19,0.34,0.1,0.1,0.27,0.1,0.46,0.1,,0.24,0.1,0.35,0.025,0.07,0.06,0.02,0.33,0.1,0.21,0.1,0.1,0.1,0.1,0.245,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-23T00:00:00,1.011,0.1,0.518,0.285,0.103,0.051,0.13,0.078,0.104,0.207,0.103,0.065,0.13477,0.065,0.065,0.139963,0.065,0.065,0.1493,0.065,0.056429,0.13,0.12,0.15,0.17,0.23,0.3,0.19,0.16,0.04,0.03,,0.09,0.13,0.11,0.4,0.47,0.39,0.28,2.62,0.35,0.0621,0.0925,0.0896,0.2934,0.0861,0.19,0.0985,0.0865,0.1023,0.1246,0.1452,0.05,0.05,0.59,0.29,0.29,0.19,0.34,0.1,0.1,0.27,0.1,0.46,0.1,,0.24,0.1,0.35,0.025,0.07,0.06,0.02,0.33,0.1,0.21,0.1,0.1,0.1,0.1,0.245,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-24T00:00:00,0.13,0.062,0.233,0.181,0.052,0.021,0.052,0.015,0.104,0.078,0.072,0.1779,0.065,0.065,0.065,0.150327,0.065,0.065,0.065,0.065,0.025,0.1,0.1,0.18,0.57,0.23,0.69,0.12,0.18,0.04,0.01,,0.21,0.11,,0.14,0.25,0.21,0.16,0.2,0.29,0.0556,0.0972,0.0755,0.122,0.0687,0.1139,0.1352,0.1483,0.0951,0.0493,0.0959,0.129804,0.05,0.27,0.29,0.28,0.18,0.34,0.1,0.1,0.32,0.1,0.53,0.1,,0.1,0.1,0.31,0.025,0.07,0.025,0.04,0.27,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-25T00:00:00,0.13,0.062,0.233,0.181,0.052,0.021,0.052,0.015,0.104,0.078,0.072,0.1779,0.065,0.065,0.065,0.150327,0.065,0.065,0.065,0.065,0.025,0.1,0.1,0.18,0.57,0.23,0.69,0.12,0.18,0.04,0.01,,0.21,0.11,,0.14,0.25,0.21,0.16,0.2,0.29,0.0556,0.0972,0.0755,0.122,0.0687,0.1139,0.1352,0.1483,0.0951,0.0493,0.0959,0.129804,0.05,0.27,0.29,0.28,0.18,0.34,0.1,0.1,0.32,0.1,0.53,0.1,,0.1,0.1,0.31,0.025,0.07,0.025,0.04,0.27,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-26T00:00:00,0.13,0.062,0.233,0.181,0.052,0.021,0.052,0.015,0.104,0.078,0.072,0.1779,0.065,0.065,0.065,0.150327,0.065,0.065,0.065,0.065,0.025,0.1,0.1,0.18,0.57,0.23,0.69,0.12,0.18,0.04,0.01,0.03,0.21,0.11,,0.14,0.25,0.21,0.16,0.2,0.29,0.0556,0.0972,0.0755,0.122,0.0687,0.1139,0.1352,0.1483,0.0951,0.0493,0.0959,0.129804,0.05,0.27,0.29,0.28,0.18,0.34,0.1,0.1,0.32,0.1,0.53,0.1,,0.1,0.1,0.31,0.025,0.07,0.025,0.04,0.27,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-27T00:00:00,0.13,0.062,0.233,0.181,0.052,0.021,0.052,0.015,0.104,0.078,0.072,0.1779,0.065,0.065,0.065,0.150327,0.065,0.065,0.065,0.065,0.025,0.1,0.1,0.18,0.57,0.23,0.69,0.12,0.18,0.04,0.01,0.03,0.21,0.11,,0.14,0.25,0.21,0.16,0.2,0.29,0.0556,0.0972,0.0755,0.122,0.0687,0.1139,0.1352,0.1483,0.0951,0.0493,0.0959,0.129804,0.05,,0.29,0.28,0.18,0.34,0.1,0.1,0.32,0.1,0.53,0.1,0.1,0.1,0.1,0.31,0.025,0.07,0.025,0.04,0.27,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-28T00:00:00,0.13,0.062,0.233,0.181,0.052,0.021,0.052,0.015,0.104,0.078,0.072,0.1779,0.065,0.065,0.065,0.150327,0.065,0.065,0.065,0.065,0.025,0.1,0.1,0.18,0.57,0.23,0.69,0.12,0.18,0.04,0.01,0.03,0.21,0.11,,0.14,0.25,0.21,0.16,0.2,0.29,0.0556,0.0972,0.0755,0.122,0.0687,0.1139,0.1352,0.1483,0.0951,0.0493,0.0959,0.129804,0.05,0.27,0.29,0.28,0.18,0.34,0.1,0.1,0.32,0.1,0.53,0.1,0.1,0.1,0.1,0.31,,0.07,0.025,0.04,0.27,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-29T00:00:00,0.13,0.062,0.233,0.181,0.052,,0.052,0.015,0.104,0.078,0.072,0.1779,0.065,0.065,0.065,0.150327,0.065,0.065,0.065,0.065,0.025,0.1,0.1,0.18,0.57,0.23,0.69,0.12,0.18,0.04,0.01,0.03,0.21,0.11,,0.14,0.25,0.21,0.16,0.2,0.29,0.0556,0.0972,0.0755,0.122,0.0687,0.1139,0.1352,0.1483,0.0951,0.0493,0.0959,0.129804,0.05,0.27,0.29,0.28,0.18,0.34,0.1,0.1,0.32,0.1,0.53,0.1,0.1,0.1,0.1,0.31,0.025,0.07,0.025,0.04,0.27,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-30T00:00:00,0.13,0.062,0.233,0.181,0.052,,0.052,0.015,0.104,0.078,0.072,0.1779,0.065,0.065,0.065,0.150327,0.065,0.065,0.065,0.065,0.025,0.1,0.1,0.18,0.57,0.23,0.69,0.12,0.18,0.04,0.01,0.03,0.21,0.11,,0.14,0.25,0.21,0.16,0.2,0.29,0.0556,0.0972,0.0755,0.122,0.0687,0.1139,0.1352,0.1483,0.0951,0.0493,0.0959,0.129804,0.05,0.27,0.29,0.28,0.18,0.34,0.1,0.1,0.32,0.1,0.53,0.1,0.1,0.1,0.1,0.31,0.025,0.07,0.025,0.04,0.27,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-31T00:00:00,0.207,0.058,0.181,0.104,0.078,,0.078,0.078,0.078,0.078,0.053,0.065,0.065,0.065,0.065,0.065,0.1604,0.065,0.065,0.065,0.072889,0.18,0.13,0.15,0.15,0.14,0.23,0.12,0.14,0.04,0.03,0.05,0.78,0.09,0.04,0.39,0.36,0.36,0.26,0.85,0.65,0.0687,0.1077,0.0865,0.1449,0.0757,0.1611,0.0979,0.1604,0.1219,0.0701,0.114,0.05,0.05,0.39,0.38,0.26,0.28,0.33,0.1,0.1,0.28,0.27,0.67,0.1,0.26,0.37,0.1,0.66,,0.09,0.29,0.03,,,,,,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01T00:00:00,0.207,0.058,0.181,0.104,0.078,0.046,0.078,0.078,0.078,0.078,0.053,0.065,0.065,0.065,0.065,0.065,0.1604,0.065,0.065,0.065,0.072889,0.18,0.13,0.15,0.15,,0.23,0.12,0.14,0.04,0.03,0.05,0.78,0.09,0.04,0.39,0.36,0.36,0.26,0.85,0.65,0.0687,0.1077,0.0865,0.1449,0.0757,0.1611,0.0979,0.1604,0.1219,0.0701,0.114,0.05,0.05,0.39,0.38,0.26,0.28,0.33,0.1,0.1,0.28,0.27,,0.1,0.26,0.37,0.1,0.66,,0.09,0.29,0.03,,,,,,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02T00:00:00,0.207,0.058,0.181,0.104,0.078,,0.078,0.078,0.078,0.078,0.053,0.065,0.065,0.065,0.065,0.065,0.1604,0.065,0.065,0.065,0.072889,0.18,0.13,0.15,0.15,,0.23,0.12,0.14,0.04,0.03,0.05,0.78,0.09,0.04,0.39,0.36,0.36,0.26,0.85,0.65,0.0687,0.1077,0.0865,0.1449,0.0757,0.1611,0.0979,0.1604,0.1219,0.0701,0.114,0.05,0.05,0.39,0.38,,0.28,0.33,0.1,0.1,0.28,0.27,,0.1,0.26,0.37,0.1,0.66,0.025,0.09,0.29,0.03,,,,,,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
