Time,PM10,
2019-05-13T03:00:00,16.9341,
2019-05-13T04:00:00,14.849,
2019-05-13T05:00:00,13.9802,
2019-05-13T06:00:00,11.7339,
2019-05-13T07:00:00,13.5149,
2019-05-13T08:00:00,17.8525,
2019-05-13T09:00:00,12.9841,
2019-05-13T10:00:00,12.0897,
2019-05-13T11:00:00,11.3157,
2019-05-13T12:00:00,8.04095,
2019-05-13T13:00:00,9.52063,
2019-05-13T14:00:00,8.49996,
2019-05-13T15:00:00,10.524,
2019-05-13T16:00:00,11.8479,
2019-05-13T17:00:00,12.9245,
2019-05-13T18:00:00,5.47065,
2019-05-13T19:00:00,7.7312,
2019-05-13T20:00:00,11.4945,
2019-05-13T21:00:00,15.4351,
2019-05-13T22:00:00,15.5573,
2019-05-13T23:00:00,10.4031,
2019-05-14T00:00:00,14.1439,
2019-05-14T01:00:00,10.1703,
2019-05-14T02:00:00,10.9599,
2019-05-14T03:00:00,9.49046,
2019-05-14T04:00:00,12.1338,
2019-05-14T05:00:00,8.68441,
2019-05-14T06:00:00,6.59585,
2019-05-14T07:00:00,7.40362,
2019-05-14T08:00:00,10.444,
2019-05-14T09:00:00,8.20766,
2019-05-14T10:00:00,7.73586,
2019-05-14T11:00:00,9.87078,
2019-05-14T12:00:00,7.24509,
2019-05-14T13:00:00,10.1677,
2019-05-14T14:00:00,5.72143,
2019-05-14T15:00:00,5.44602,
2019-05-14T16:00:00,6.02304,
2019-05-14T17:00:00,9.79711,
2019-05-14T18:00:00,11.1415,
2019-05-14T19:00:00,11.8966,
2019-05-14T20:00:00,13.1184,
2019-05-14T21:00:00,30.5558,
2019-05-14T22:00:00,16.6721,
2019-05-14T23:00:00,18.9612,
2019-05-15T00:00:00,18.8028,
2019-05-15T01:00:00,16.4016,
2019-05-15T02:00:00,15.5823,
2019-05-15T03:00:00,7.72653,
2019-05-15T04:00:00,11.7789,
2019-05-15T05:00:00,12.5582,
2019-05-15T06:00:00,9.49284,
2019-05-15T07:00:00,12.011,
2019-05-15T08:00:00,5.80097,
2019-05-15T09:00:00,2.98173,
2019-05-15T10:00:00,6.70551,
2019-05-15T11:00:00,3.58215,
2019-05-15T12:00:00,3.63087,
2019-05-15T13:00:00,9.95395,
2019-05-15T14:00:00,5.27093,
2019-05-15T15:00:00,4.59988,
2019-05-15T16:00:00,6.14122,
2019-05-15T17:00:00,4.41642,
